JSM,ENDERECO,BAIRRO,CEP,TELEFONE,MUNICIPIO_JSM,UF_JSM
"31/56 - CANUTAMA","RUA FLORIANO PEIXOTO, NR 550","CENTRO","69820000","97  91583281","CANUTAMA","AM"
"31/59 - EIRUNEPE",,,,,"EIRUNEPE","AM"
"31/78 - MINISTRO ANDREAZZA","AV PAU BRASIL, 5.577","CENTRO","76919000","(69)3448-2260/99637839(vivo)","MINISTRO ANDREAZZA","RO"
"31/79 - VALE DO PARAISO",,,,,"VALE DO PARAISO","RO"
"99/1 - COSTA DO MARFIM - EMBAIXADA EM ABIDJA ","IMMEUBLE ALPHA 2000","ABIDJÃ",,"(225)20222341","EXTERIOR","KK"
"99/3 - ETIOPIA - EMBAIXADA EM ADIS ABEBA",,,,,"EXTERIOR","KK"
"99/5 - TURQUIA - EMBAIXADA EM ANCARA ",,,,,"EXTERIOR","KK"
"99/6 - ARGELIA - EMBAIXADA EM ARGEL",,,,,"EXTERIOR","KK"
"99/7 - URUGUAY - VICECONSULADO EM ARTIGAS",,,,,"EXTERIOR","KK"
"99/8 - PARAGUAI - CONSULADO EM ASSUNCAO",,,,,"EXTERIOR","KK"
"99/9 - GRECIA - EMBAIXADA EM ATENAS",,,,,"EXTERIOR","KK"
"99/10 - IRAQUE - EMBAIXADA EM BAGDA",,,,,"EXTERIOR","KK"
"99/11 - TAILANDIA - EMBAIXADA EM BANGKOK",,,,,"EXTERIOR","KK"
"99/13 - LIBANO - CONSULADO EM BEIRUTE",,,,,"EXTERIOR","KK"
"99/15 - BELIZE - EMBAIXADA EM BELMOPAN",,,,,"EXTERIOR","KK"
"99/17 - GUINE-BISSAU - EMBAIXADA EM BISSAU",,,,,"EXTERIOR","KK"
"99/23 - HUNGRIA - EMBAIXADA EM BUDAPESTE",,,,,"EXTERIOR","KK"
"99/25 - GUIANA FRANCESA - CONSULADO EM CAIENA",,,,,"EXTERIOR","KK"
"99/29 - EUA - CONSULADO EM CHICAGO","401 NORTH MICHIGAN AVENUE, SUITE 1850",,,,"EXTERIOR","KK"
"99/30 - URUGUAY - CONSULADO EM CHUI",,,,,"EXTERIOR","KK"
"99/31 - AFRICA DO SUL - CONSULADO EM CIDADE DO CABO",,,,,"EXTERIOR","KK"
"99/32 - CINGAPURA - EMBAIXADA EM CINGAPURA","101 THOMSON ROAD, #29-01/03",,,"+65 6603 - 9361","EXTERIOR","KK"
"99/34 - VENEZUELA - CONSULADO EM CIUDAD GUAYANA",,,,,"EXTERIOR","KK"
"99/35 - BOLIVIA - CONSULADO EM COBIJA",,,,,"EXTERIOR","KK"
"99/37 - PARAGUAI - VICECONSULADO EM CONCEPCION",,,,,"EXTERIOR","KK"
"99/38 - DINAMARCA - EMBAIXADA EM COPENHAGUE",,,,,"EXTERIOR","KK"
"99/41 - SIRIA - EMBAIXADA EM DAMASCO",,,,,"EXTERIOR","KK"
"99/43 - TIMOR LESTE - EMBAIXADA EM DILI",,,,,"EXTERIOR","KK"
"99/44 - CATAR - EMBAIXADA EM DOHA",,,,,"EXTERIOR","KK"
"99/46 - PARAGUAI - VICECONSULADO EM ENCARNACION",,,,,"EXTERIOR","KK"
"99/50 - GUIANA - EMBAIXADA EM GEORGETOWN","308/309 CHURCH STREET","QUEENSTOWN",,"5922317182","EXTERIOR","KK"
"99/51 - GUATEMALA - EMBAIXADA EM GUATEMALA",,,,,"EXTERIOR","KK"
"99/52 - BOLIVIA - CONSULADO EM GUAYARAMERIN",,,,,"EXTERIOR","KK"
"99/53 - VIETNAM - EMBAIXADA EM HANOI",,,,,"EXTERIOR","KK"
"99/54 - ZIMBABUE - EMBAIXADA EM HARARE",,,,,"EXTERIOR","KK"
"99/55 - CUBA - EMBAIXADA EM HAVANA",,,,,"EXTERIOR","KK"
"99/56 - FINLANDIA - EMBAIXADA EM HELSINKI",,,,,"EXTERIOR","KK"
"99/57 - CHINA - CONSULADO EM HONG KONG",,,,,"EXTERIOR","KK"
"99/58 - EUA - CONSULADO EM HOUSTON",,,,,"EXTERIOR","KK"
"99/59 - CAMAROES - EMBAIXADA EM IAUNDE",,,,,"EXTERIOR","KK"
"99/60 - PERU - CONSULADO EM IQUITOS",,,,,"EXTERIOR","KK"
"99/61 - PAQUISTAO - EMBAIXADA EM ISLAMABADE",,,,,"EXTERIOR","KK"
"99/64 - JAMAICA - EMBAIXADA EM KINGSTON",,,,,"EXTERIOR","KK"
"99/65 - CONGO - EMBAIXADA EM KINSHASA",,,,,"EXTERIOR","KK"
"99/66 - KUAITE - EMBAIXADA EM KUAITE","WEST MISHEREF, BLOCK 01, STREET 116, VILLA 47","MUBARAK ABDALLAH AL JABER AREA",,"25378561","EXTERIOR","KK"
"99/67 - MALASIA - EMBAIXADA EM KUALA LUMPUR",,,,,"EXTERIOR","KK"
"99/69 - NIGERIA - CONSULADO EM LAGOS",,,,,"EXTERIOR","KK"
"99/70 - COLOMBIA - VICECONSULADO EM LETICIA",,,,,"EXTERIOR","KK"
"99/71 - GABAO - EMBAIXADA EM LIBREVILLE",,,,,"EXTERIOR","KK"
"99/72 - PERU - EMBAIXADA EM LIMA",,,,,"EXTERIOR","KK"
"99/74 - INGLATERRA - CONSULADO EM LONDRES",,,,,"EXTERIOR","KK"
"99/75 - EUA - CONSULADO EM LOS ANGELES","8484 WILSHIRE BLVD #300","BEVERLY HILLS, CALIF EUA","90211","3236512664","EXTERIOR","KK"
"99/76 - ANGOLA - EMBAIXADA EM LUANDA",,,,,"EXTERIOR","KK"
"99/77 - ESPANHA - CONSULADO EM MADRI",,,,,"EXTERIOR","KK"
"99/79 - FILIPINAS - EMBAIXADA EM MANILA",,,,,"EXTERIOR","KK"
"99/80 - MOCAMBIQUE - EMBAIXADA EM MAPUTO",,,,,"EXTERIOR","KK"
"99/84 - URUGUAY - CONSULADO EM MONTEVIDEU",,,,,"EXTERIOR","KK"
"99/85 - CANADA - CONSULADO EM MONTREAL"," WESTMOUNT SQUARE, NO. 1, SUITE 1700","WESTMOUNT, QUEBEC, CANADÁ",,"514-499-0968","EXTERIOR","KK"
"99/89 - QUENIA - EMBAIXADA EM NAIROBI",,,,,"EXTERIOR","KK"
"99/90 - INDIA - EMBAIXADA EM NOVA DELHI",,,,,"EXTERIOR","KK"
"99/93 - CANADA - EMBAIXADA EM OTAWA",,,,,"EXTERIOR","KK"
"99/94 - PANAMA - EMBAIXADA EM CIDADE DO PANAMA",,,,,"EXTERIOR","KK"
"99/95 - SURINAME - EMBAIXADA EM PARAMARIBO","MARATAKASTRAAT NR. 02","ZORG EN HOOP ",,"400200","EXTERIOR","KK"
"99/97 - ARGENTINA - VICECONSULADO EM PASO DE LOS LIBRES",,,,,"EXTERIOR","KK"
"99/98 - PARAGUAI - CONSULADO EM PEDRO JUAN CABALLERO",,,,,"EXTERIOR","KK"
"99/101 - PORTUGAL - CONSULADO EM PORTO",,,,,"EXTERIOR","KK"
"99/102 - HAITI - EMBAIXADA EM PORTO PRINCIPE",,,,,"EXTERIOR","KK"
"99/103 - REPUBLICA TCHECA - EMBAIXADA EM PRAGA",,,,,"EXTERIOR","KK"
"99/104 - CABO VERDE - EMBAIXADA EM PRAIA",,,,,"EXTERIOR","KK"
"99/105 - AFRICA DO SUL - EMBAIXADA EM PRETORIA",,,,,"EXTERIOR","KK"
"99/106 - VENEZUELA - VICECONSULADO EM PUERTO AYACUCHO",,,,,"EXTERIOR","KK"
"99/107 - ARGENTINA - VICECONSULADO EM PUERTO IGUAZU",,,,,"EXTERIOR","KK"
"99/108 - BOLIVIA - CONSULADO EM PUERTO SUAREZ",,,,,"EXTERIOR","KK"
"99/111 - ARABIA SAUDITA - EMBAIXADA EM RIAD",,,,,"EXTERIOR","KK"
"99/112 - URUGUAY - VICECONSULADO EM RIO BRANCO",,,,,"EXTERIOR","KK"
"99/113 - URUGUAY - CONSULADO EM RIVERA",,,,,"EXTERIOR","KK"
"99/115 - HOLANDA - CONSULADO EM ROTTERDAM",,,,,"EXTERIOR","KK"
"99/118 - VENEZUELA - VICECONSULADO EM SANTA ELENA DE UAIREN",,,,,"EXTERIOR","KK"
"99/120 - REPUBLICA DOMINICANA - EMBAIXADA EM SAO DOMINGOS",,,,,"EXTERIOR","KK"
"99/124 - SAO TOME E PRINCIPE - EMBAIXADA EM SAO TOME",,,,,"EXTERIOR","KK"
"99/126 - BULGARIA - EMBAIXADA EM SOFIA",,,,,"EXTERIOR","KK"
"99/127 - AUSTRALIA - CONSULADO EM SYDNEY",,,,,"EXTERIOR","KK"
"99/128 - IRA - EMBAIXADA EM TEERA",,,,,"EXTERIOR","KK"
"99/129 - HONDURAS - EMBAIXADA EM TEGUCIGALPA",,,,,"EXTERIOR","KK"
"99/133 - LIBIA - EMBAIXADA EM TRIPOLI",,,,,"EXTERIOR","KK"
"99/134 - TUNISIA - EMBAIXADA EM TUNIS",,,,,"EXTERIOR","KK"
"99/135 - POLONIA - EMBAIXADA EM VARSOVIA",,,,,"EXTERIOR","KK"
"99/136 - VATICANO - EMBAIXADA EM CIDADE DO VATICANO",,,,,"EXTERIOR","KK"
"99/138 - EUA - CONSULADO EM WASHINGTON",,,,,"EXTERIOR","KK"
"99/139 - NOVA ZELANDIA - EMBAIXADA EM WELLINGTON","LEVEL 13, 10 CUSTOMHOUSE QUAY","WELLINGTON CENTRAL","6011",,"EXTERIOR","KK"
"99/140 - NAMIBIA - EMBAIXADA EM WINDHOEK",,,,,"EXTERIOR","KK"
"99/142 - SUICA - CONSULADO EM ZURIQUE",,,,,"EXTERIOR","KK"
"99/143 - SULTANATO DE OMAN - EMBAIXADA EM MASCATE",,,,,"EXTERIOR","KK"
"28/11 - AVEIRO","RUA HUMBERTO DE ABREU FRAZÃO, 326","CENTRO",,,"AVEIRO","PA"
"28/139 - AXIXA DO TOCANTINS","PRAÇA TRÊS PODERES, 335","CENTRO","77930000","34441103","AXIXA DO TOCANTINS","TO"
"28/140 - BABACULANDIA","RUA GETÚLIO VARGAS, 1099","CENTRO","77870000","063-34481121","BABACULANDIA","TO"
"28/126 - BELEM (PARQUE SHOPPING)","AV AUGUSTO MONTENEGRO, PARQUE SHOPPING","BENGUI","66810070","91 9888049306","BELEM","PA"
"28/125 - BELEM MOSQUEIRO","AV. 15 DE NOVEMBRO, Nº  664, CEP 66910-000","AGENCIA DISTRITAL DE MOSQUEIRO",,"987354682/982438632","BELEM","PA"
"28/16 - BENEVIDES","RUA PINTO BRAGA, S/Nº - CASA DO CIDADÃO","CENTRO","68795000","91982751722","BENEVIDES","PA"
"28/116 - BOM JESUS DO TOCANTINS","AV JARBAS PASSARINHO S/N - PRÉDIO DA PREFEITURA","CENTRO","68525000",,"BOM JESUS DO TOCANTINS","PA"
"28/17 - BONITO","AV. CHARLES ASSAD, 399","CENTRO",,"9198265-9611","BONITO","PA"
"28/18 - BRAGANCA","TV 9 DE SETEMBRO, S/Nº","CEREJA - ANTIGO SEMINÁRIO ALEXANDRE SAULI","68600000","82694198","BRAGANCA","PA"
"28/20 - BUJARU","Rua Dom Pedro II nº 38 - Praça da bandeira","Centro","68670000","(91) 999137305","BUJARU","PA"
"28/21 - CACHOEIRA DO ARARI","AV DEPUTADO JOSÉ RODRIGUES VIANA, 785","CENTRO",,"37581121","CACHOEIRA DO ARARI","PA"
"28/25 - CAPITAO POCO","AV MOURA CARVALHO, 1255","TATAJUBA",,"(91) 99810-4410","CAPITAO POCO","PA"
"28/27 - CASTANHAL","Rua Presidente Kennedy nº 534","Estrela","68740000","(91)37117922","CASTANHAL","PA"
"28/48 - MARACANA","Av Magalhães Barata nº 21","Centro","68710000","(91) 999492884 e (91)988038387","MARACANA","PA"
"28/87 - TOMEACU","Rua dos Três Poderes nº 678","Centro","68680000","(91)991962131","TOME-ACU","PA"
"28/112 - CONCORDIA DO PARA","Av Marechal Deodoro da Fonseca nº 20","Centro","68685000","(91) 993953804","CONCORDIA DO PARA","PA"
"28/43 - JACUNDA","RUA JK, 135","CENTRO","68590000",,"JACUNDA","PA"
"28/47 - MARABA","FOLHA 16 - QUADRA 40, LOTE ESPECIAL - GINÁSIO OLÍMPICO DE MARABÁ","NOVA MARABA",,,"MARABA","PA"
"28/113 - PARAUAPEBAS","Rodovia Faruk Salmen, Quadra Especial, Salas 26 e 27 (Prédio CAP)","VALE DOS CARAJAS",,"94 3346-7250","PARAUAPEBAS","PA"
"28/118 - LARANJAL DO JARI","AV TANCREDO NEVES, 2362 - SIAC CEP 68920000","CENTRO",,"96991353833","LARANJAL DO JARI","AP"
"28/168 - ULIANOPOLIS","RUA 27 DE SETEMBRO Nº 45","CENTRO (SEC MUN ASSISTÊNCIA SOCIAL)","68632000","91981487537","ULIANOPOLIS","PA"
"28/170 - SAMPAIO","RUA MANOEL MATOS, 210","CENTRO","77780000","63998537","SAMPAIO","TO"
"28/171 - PRAIA NORTE","AV NOSSA SENHORA DO CARMO, S/N","CENTRO","77970000","34881236","PRAIA NORTE","TO"
"28/148 - XAMBIOA","AV. E QUADRA 8, S/Nº","SETOR LESTE",,"(63) 34731602","XAMBIOA","TO"
"28/141 - IMPERATRIZ","RUA RUI BARBOSA, S/NR-IMPERATRIZ-MA - ESTÁDIO FREI EPIFÂNIO","CENTRO","65900000","(99)","IMPERATRIZ","MA"
"28/142 - ITAGUATINS","PRÇA FLORIANO RODRIGUES DE MORAES , S/N","CENTRO","77920000","34771198","ITAGUATINS","TO"
"28/143 - NAZARE","AV 10 DE JANEIRO, S/N CENTRO","CENTRO","77895000","34551101","NAZARE","TO"
"28/144 - SAO SEBASTIAO DO TOCANTIS","AV IMPERATRIZ, S/N","CENTRO","77940000","34261123","SAO SEBASTIAO DO TOCANTINS","TO"
"28/146 - TOCANTINOPOLIS","RUA DA ESTRELA, 303","CENTRO","77900000","34717106","TOCANTINOPOLIS","TO"
"2/11 - TRES RIOS","PRACA SAO SEBASTIAO, 81  - PATIO DA PREFEITURA","CENTRO","25804080","(24) 22554164","TRES RIOS","RJ"
"2/12 - PARAIBA DO SUL","PRAÇA GARCIA/PALÁCIO TIRADENTES, Nº 96","CENTRO",,"(24) 22632045","PARAIBA DO SUL","RJ"
"2/13 - SAPUCAIA","PRAÇA OSCAR JOSÉ FERNANDES, SALA 2","CENTRO",,"(24) 22711048","SAPUCAIA","RJ"
"2/16 - PETROPOLIS","PRAÇA PREFEITO ALCINDO SODRÉ, Nº 06 / SALA 206","CENTRO",,"(24) 22469278 / 22469279","PETROPOLIS","RJ"
"2/18 - SAO GONCALO","RUA SALVATORI, 455","ROCHA",,,"SAO GONCALO","RJ"
"2/52 - TERESOPOLIS","PRAÇA DOS EXPEDICIONÁRIOS, S/Nº","CENTRO",,"22444616","TERESOPOLIS","RJ"
"2/57 - SILVA JARDIM","RUA  SANCAO PEDRO DAVID, LT 11, QD 2, S/N","CENTRO","28820000","(22)26689422/(22)999633723","SILVA JARDIM","RJ"
"2/71 - COMENDADOR LEVY GASPARIAN","AVENIDA VEREADOR JOSÉ FRANCISCO XAVIER, Nº 01","CENTRO",,"(24) 22541103 / (24) 22541105","COMENDADOR LEVY GASPARIAN","RJ"
"2/101 - RIO DE JANEIRO CENTRO","RUA REPUBLICA DO LIBANO, Nº 54","CENTRO",,"22216813","RIO DE JANEIRO","RJ"
"2/155 - PORTO REAL","RUA  HILARIO ETTORE, Nº 442","CENTRO",,"(24) 3353-4128","PORTO REAL","RJ"
"2/315 - COLATINA","RUA AURELIO GATTI, NR 36","ESPLANADA",,"27-3722 1070","COLATINA","ES"
"2/328 - BOM JESUS DO NORTE","PRACA ASTOLFO LOBO, 249","CENTRO","29460000","28 - 3562 11 66","BOM JESUS DO NORTE","ES"
"2/346 - CONCEICAO DA BARRA","RUA SAO JOSE, S/Nº","CENTRO","29960000","37623614","CONCEICAO DA BARRA","ES"
"2/368 - MARECHAL FLORIANO","RUA ADAO KIFFER, 34","CENTRO","29255000","32882215","MARECHAL FLORIANO","ES"
"4/23 - CARAPICUIBA","AVENIDA PRESIDENTE VARGAS 280","VILA CALDAS",,"4164-5557","CARAPICUIBA","SP"
"4/31 - SANTOS","RUA PARANÁ, 131","VILA MATHIAS",,"32342503","SANTOS","SP"
"4/50 - SAO PAULO (SANTO AMARO)","RUA DARWIN, 185","SANTO AMARO",,"(11) 5523-2529","SAO PAULO","SP"
"5/1 - ADOLFO","RUA CASTRO ALVES, 780 / CEP: 15230-000","CENTRO ",,"(17) 3814-9020 / RAMAL: 2021","ADOLFO","SP"
"5/4 - AMERICO BRASILIENSE","RUA MANOEL BORBA , 516 - CENTRO ( PROX PREF )","CENTRO","14820000","33924118","AMERICO BRASILIENSE","SP"
"5/7 - PLANALTO","AV. CARLOS GOMES Nº 971","CENTRO","15260000","  18   36959500","PLANALTO","SP"
"5/34 - DESCALVADO","RUA JOSE QUIRINO RIBEIRO, 55","CENTRO","13690000","35839343","DESCALVADO","SP"
"5/48 - IBITINGA","RUA JOSE CUSTODIO, 360","CENTRO","14940000","33527000/3342-8434","IBITINGA","SP"
"5/55 - ITAPOLIS","AV PRESIDENTE VALENTIM GENTIL, 734","CENTRO","14900000","32622218","ITAPOLIS","SP"
"5/84 - ORLANDIA","AV DO CAFE, 1040","CENTRO","14620000","3820-8069","ORLANDIA","SP"
"5/104 - RINCAO","RUA 21 DE NOVEMBRO, 256","CENTRO","14830000","33959103","RINCAO","SP"
"5/110 - SANTA LUCIA","RUA CEL. LUIZ PINTO, Nº  319","CENTRO","14825000","33969600","SANTA LUCIA","SP"
"5/120 - SAO SIMAO","RUA XX DE AGOSTO, 290","CENTRO","14200000","01639849121","SAO SIMAO","SP"
"5/129 - TAMBAU","RUA CEARA, 441","JARDIM SANTA TEREZINHA","13710000","1936739523","TAMBAU","SP"
"5/146 - GUARANI DOESTE","RUA ADELINO VICENTE DE MELLO, 1229","CENTRO","15680000","(17) 3834-1179","GUARANI D'OESTE","SP"
"5/174 - TANABI","PÇA STELIO MACHADO LOUREIRO S/N","TERMINAL RODOVIARIO","15170000","17-3274-0681","TANABI","SP"
"5/190 - GUATAPARA","RUA DAS SIBIPIRUNAS, 335","CENTRO","14115000","39732020-16-99706-4573","GUATAPARA","SP"
"5/213 - AGUAI",,,,,"AGUAI","SP"
"5/214 - AGUAS DA PRATA",,,,,"AGUAS DA PRATA","SP"
"5/216 - SAO SEBASTIAO DA GRAMA",,,,,"SAO SEBASTIAO DA GRAMA","SP"
"5/217 - VARGEM GRANDE DO SUL",,,,,"VARGEM GRANDE DO SUL","SP"
"5/218 - BURITAMA",,,,,"BURITAMA","SP"
"6/12 - APARECIDA DOESTE",,,,,"APARECIDA D'OESTE","SP"
"6/15 - AURIFLAMA",,,,,"AURIFLAMA","SP"
"6/17 - AVANHANDAVA","RUA JOSE ADAS Nº 44","CENTRO","16360000","18-36519200/ 991415327","AVANHANDAVA","SP"
"6/18 - BALBINOS","RUA SETE DE SETEMBRO Nº 481","CENTRO","16640000","35839100","BALBINOS","SP"
"6/29 - CAFELANDIA","AVENIDA JACOB ZUCCHI Nº 200","CENTRO","16500000","35568000","CAFELANDIA","SP"
"6/48 - FLOREAL",,,,,"FLOREAL","SP"
"6/54 - GASTAO VIDIGAL",,,,,"GASTAO VIDIGAL","SP"
"6/55 - GENERAL SALGADO",,,,,"GENERAL SALGADO","SP"
"6/56 - GETULINA","Rua Dom Pedro II, 318 - Centro","CENTRO","16450000","14-35529222","GETULINA","SP"
"6/59 - GUAIMBE","RUA MARECHAL DEODORO, 261","CENTRO","16480000","3553-9700","GUAIMBE","SP"
"6/64 - GUZOLANDIA",,,,,"GUZOLANDIA","SP"
"6/80 - LINS","RUA OLAVO BILAC Nº 640","CENTRO","16400076","14-35337027","LINS","SP"
"6/86 - MACAUBAL",,,,,"MACAUBAL","SP"
"6/88 - MAGDA",,,,,"MAGDA","SP"
"6/93 - MARINOPOLIS",,,,,"MARINOPOLIS","SP"
"6/99 - MONCOES",,,,,"MONCOES","SP"
"6/100 - MONTE APRAZIVEL",,,,,"MONTE APRAZIVEL","SP"
"6/104 - NHANDEARA",,,,,"NHANDEARA","SP"
"6/105 - NIPOA",,,,,"NIPOA","SP"
"6/108 - NOVA LUZITANIA",,,,,"NOVA LUZITANIA","SP"
"6/127 - PIRAJUI","RUA QUINTINO BOCAIUVA Nº 455","CENTRO","16600000","35721227","PIRAJUI","SP"
"6/132 - POLONI",,,,,"POLONI","SP"
"6/170 - SAO PEDRO DO TURVO","RUA SEBASTIAO TEIXEIRA COELHO Nº 65","CENTRO","18940000","33771633","SAO PEDRO DO TURVO","SP"
"6/171 - SEBASTIANOPOLIS DO SUL",,,,,"SEBASTIANOPOLIS DO SUL","SP"
"6/172 - SUD MENNUCCI",,,,,"SUD MENNUCCI","SP"
"6/179 - TUPI PAULISTA","RUA JULIO CANTADORI, 405 (PAÇO MUNICIPAL)","CENTRO",,"(18) 3851.9000","TUPI PAULISTA","SP"
"6/180 - TURIUBA",,,,,"TURIUBA","SP"
"6/183 - UNIAO PAULISTA",,,,,"UNIAO PAULISTA","SP"
"6/194 - TRES LAGOAS",,,,,"TRES LAGOAS","MS"
"6/196 - EMILIANOPOLIS","RUA IDALINA MARIA FIORESE Nº 244","CENTRO",,"(18) 39941176  ","EMILIANOPOLIS","SP"
"6/197 - SAO JOAO DE IRACEMA",,,,,"SAO JOAO DE IRACEMA","SP"
"6/200 - SUZANAPOLIS",,,,,"SUZANAPOLIS","SP"
"6/201 - LOURDES",,,,,"LOURDES","SP"
"6/203 - FERNAO","RUA JOSÉ BONIFÁCIO Nº 128","CENTRO",,"32731000","FERNAO","SP"
"6/204 - NANTES","RUA SIQUEIRA Nº 150","CENTRO","19645000","32688800","NANTES","SP"
"6/206 - NOVA CASTILHO",,,,,"NOVA CASTILHO","SP"
"6/210 - ITAPUI",,,,,"ITAPUI","SP"
"7/16 - APORE","RUA ARY PIMENTA, S/Nº, PRÉDIO DA AGRODEFESA","CENTRO",,"(64) 36441123","APORE","GO"
"7/52 - CAMPINORTE","PREFEITURA MUNICIPAL - PRAÇA CRISTÓVÃO COLOMBO Nº 1","CENTRO","76410000","(62) 3347-3281","CAMPINORTE","GO"
"7/63 - CERES","Praça Cívica, S/Nº, Prédio Prefeitura Municipal de Ceres","Centro","76300000","3307-7600 / 3307-7603 ","CERES","GO"
"7/87 - FAZENDA NOVA","AV GOIAS, NR 551","CENTRO","76220000","62 3382-1231 ou 992843878","FAZENDA NOVA","GO"
"7/201 - BRASILIA (PLANALTINA)","Avenida Uberdan Cardoso, s/nº - ","Setor Administrativo - Planaltina - DF",,"6134889228","BRASILIA","DF"
"7/229 - SAO FRANCISCO DE SALES","RUA CINCO Nº 185 ","CENTRO",,"(34) 3413-8019","SAO FRANCISCO DE SALES","MG"
"7/236 - SILVANIA","SEDE DA PREFEITURA MUNICIPAL","CENTRO",,"33321432","SILVANIA","GO"
"7/237 - SITIO DABADIA",,,,,"SITIO D'ABADIA","GO"
"7/295 - TURVELANDIA","AV. JOSE MARIO C. RESENDE Nº 13","CENTRO",,"64 36428002","TURVELANDIA","GO"
"7/296 - ITAGUARI","SEDE DA PREFEITURA","CENTRO","76650000",,"ITAGUARI","GO"
"7/306 - TAQUARUSSU DO PORTO",,,,,"TAQUARUCU","TO"
"7/308 - MIMOSO DE GOIAS",,,,,"MIMOSO DE GOIAS","GO"
"7/334 - BURITINOPOLIS",,,,,"BURITINOPOLIS","GO"
"7/350 - CRIXAS DO TOCANTINS","AV. MARECHAL RONDON, S/Nº","CENTRO",,"33521118","CRIXAS DO TOCANTINS","TO"
"8/13 - CAMBARA DO SUL","RUA DONA ÚRSULA Nº 641","CENTRO",,"32511174","CAMBARA DO SUL","RS"
"8/15 - CANELA","RUA DONA CARLINDA, 455","CENTRO",,"54-32824077","CANELA","RS"
"8/33 - GUAIBA","RUA 14 DE OUTUBRO Nº 89","CENTRO","92500000","513480.7035 / 51981859596","GUAIBA","RS"
"8/135 - SAO PEDRO DA SERRA","AV. DUQUE DE CAXIAS Nº 1799","CENTRO",,"36451050","SAO PEDRO DA SERRA","RS"
"8/145 - DOM PEDRO DE ALCANTARA","AV. CENTRAL Nº 089","CENTRO","95568000","36640011","DOM PEDRO DE ALCANTARA","RS"
"8/166 - ESTRELA","RUA PINHEIRO MACHADO, 343, SALA 01","CENTRO",,"39811037","ESTRELA","RS"
"8/185 - BAGE","RUA MAURITY Nº 121 - E","CENTRO",,"32421065","BAGE","RS"
"8/214 - HERVEIRAS","RUA GERMANO WINK, 525","CENTRO",,"(51)36162008 Cel 985434638","HERVEIRAS","RS"
"8/240 - PARAISO DO SUL","Av 1º de Janeiro, 742","CENTRO",,"55)3262-1522","PARAISO DO SUL","RS"
"8/244 - CAPAO BONITO DO SUL","ARTUR FEIJÓ   Nº 375","CENTRO",,"36253027","CAPAO BONITO DO SUL","RS"
"8/253 - BENTO GONCALVES PINTO BANDEIRA",,,,,"BENTO GONCALVES","RS"
"10/11 - CAIBATE","Avenida Padre Réus 1582","Centro",,"5533551300","CAIBATE","RS"
"10/14 - CAMPINAS DO SUL","RUA GEN DALTRO FILHO, 999","CENTRO",,"(54) 3366 1490 / 99125 4975","CAMPINAS DO SUL","RS"
"10/19 - CERRO LARGO","CEL. JORGE FRANTZ,675",".CENTRO",,"33594900","CERRO LARGO","RS"
"10/22 - CONSTANTINA","RUA JOÃO MAFESSONI, 483","CENTRO",,"(54) 3363 1269","CONSTANTINA","RS"
"10/33 - GUARANI DAS MISSOES","RUA BOA VISTA 265","CENTRO",,"33531200","GUARANI DAS MISSOES","RS"
"10/44 - LIBERATO SALZANO","AV RIO BRANCO, 234","CENTRO",,"(55) 3755 1133","LIBERATO SALZANO","RS"
